PeakAcceleration,Feat1,Feat2,Feat3,Feat4,Feat5
0.071,0.085111462,-0.551527393,-0.161236602,-0.741130735,0.256114693
0.027,0.766968571,-1.317229283,0.576753469,-0.430095228,0.315314899
0.597,-0.538243762,-0.262584972,-1.218577003,-0.73894244,0.307090033
0.184,-0.015884082,-0.683855797,-0.158342257,-0.734578151,0.257105523
0.152,1.076892742,1.714386935,-2.146923859,-1.386620065,-0.016264378
0.275,2.225716849,1.171620428,0.304210007,0.043133216,-0.012334092
0.291,0.875657919,-0.87533752,0.320200866,0.44777153,-0.115814199
0.067,0.23879712,-0.813825278,-0.138788725,-1.031541702,0.519708293
4.069,-2.544440176,1.727891059,-1.078333511,-1.019701841,0.733380166
0.183,-2.069725193,0.400037191,-1.140615421,-0.558032633,-0.180196959
0.114,1.945396529,2.51881933,-0.602940929,-0.022482598,-0.370935997
1.471,5.080140183,7.483814544,1.818160602,-0.508112134,-0.967039857
0.048,0.362721028,-1.580892087,0.377046079,0.173848541,0.027140318
0.389,-1.716862147,1.164642262,-1.306388423,-0.839749985,-0.231195975
0.247,0.013864774,-0.869818413,-0.293484547,1.189305103,-0.354152893
0.168,3.737944462,1.100139895,1.13683059,-0.144466027,0.006856872
0.024,0.950250267,-1.084883766,0.435711919,-0.764514222,0.358143551
0.048,-1.103737613,0.049652349,-1.315501798,1.575154462,-0.732998598
0.036,-0.211713233,-0.860573033,-0.163070866,-0.500007621,0.070420665
0.336,0.497972276,-1.400353158,0.395652253,0.258106778,0.108565251
0.927,0.601128869,1.80295283,-0.589931022,0.287030418,0.018018239
0.05,0.897548718,-1.179347868,0.139790361,1.433582858,-0.294951666
1.085,0.234877003,-0.480759544,2.278061505,1.886570298,-0.565932611
0.413,1.798982136,3.783301905,-0.57213038,0.523582456,-0.707249575
0.07,0.387733069,-1.646495856,0.412655093,0.117676863,0.051001818
0.048,0.619263935,-1.220856069,0.280291543,0.436537708,-0.226930848
0.24,-1.333010848,0.030804515,-1.116820143,0.129008498,-0.312840517
0.044,0.411147779,-0.752831272,0.018675349,-1.734278565,0.490093494
0.177,0.47854827,-1.566237159,0.050762847,1.400434899,-0.194595792
0.125,-0.628867142,-1.552229867,-0.183007267,0.586374067,-0.073386908
0.11,0.227273581,-0.34006507,-0.218725319,-0.618707674,0.128483778
0.79,-1.438757943,0.267948775,-1.125778179,-0.810117696,0.067334641
0.067,0.312626631,-1.358368979,0.399637791,-1.578409662,0.602774831
0.6,-1.637940009,2.928456507,-1.404303123,-0.690551894,-0.54974986
0.721,-3.552063126,1.932935284,4.075250927,-0.465181689,-0.755161165
0.399,-0.427636573,1.38962071,-1.235942548,1.914025974,-0.848807692
0.399,2.569161843,2.583858564,-0.712608587,0.440897261,-0.36500989
0.954,0.049221116,-0.550817769,-0.173481207,0.192337789,0.149253826
0.033,-0.070881986,-0.92887634,-0.06358822,-0.640931466,0.282201548
0.017,2.629501639,-0.340756602,-1.077548951,-1.783193164,0.456525188
0.02,0.32639638,-1.49837905,0.372559365,-0.869416813,0.279519653
0.309,0.776382886,-1.145923558,0.368755621,0.388100289,0.078763737
1.706,-2.04199646,2.418834374,-1.274210494,-0.905994708,-0.108310342
0.36,0.466958699,-1.530516475,0.423997819,0.158333186,0.132566914
0.012,0.708296799,-1.15285064,0.257615314,-1.046262993,0.277000571
1.187,-1.373321163,1.152416334,-1.165656936,1.543209928,-0.494600275
0.072,1.121494973,-0.708071059,0.445341524,-0.261289461,0.117354093
0.148,-1.622583569,1.195311722,-1.277449543,-0.639768239,-0.321769692
0.998,-1.534792523,1.109380438,-1.244278308,-0.690869437,0.082834882
0.339,0.186797789,1.815947785,-1.449824794,-0.483810639,-0.106937817
0.022,0.122845193,-1.319858924,0.356966917,-1.655409048,0.504887278
6.708,-2.30219064,1.849191972,-1.080437919,0.12544734,1.164105952
0.012,1.683624655,0.099312597,0.597288655,0.56734636,-0.196405162
0.597,-1.757989786,1.234423104,-1.146998928,-1.362655132,0.215066022
0.26,0.728466744,-1.13840446,0.373609048,0.313854554,0.001533397
0.65,0.873799748,-0.975400645,0.422951115,0.319758135,0.193724072
0.043,-0.00629232,-0.652536571,-0.191309344,-0.709664354,0.149598247
